資料番号,書誌ID,書誌情報,請求記号,巻冊次等／表示用巻号／製本巻号,学年,利用者区分名称,所属名称,貸出カウンタ種別名称,返却カウンタ種別名称,和洋区分名称,所在名称,貸出日,貸出時刻,貸出曜日,返却日,返却時刻
00090258200,TT21687780,"発光材料の基礎と新しい展開 : 固体照明・ディスプレイ材料 / 金光義彦, 岡本信治共編. -- オーム社, 2008.9. -- ix, 261p : 挿図 ; 21cm.",ND371/0160,,02,学生,理学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,134253,4,20160614,122304
00150227971,TT22021610,"先端有機半導体デバイス : 基礎からデバイス物性まで / 日本学術振興会情報科学用有機材料第142委員会C部会編. -- オーム社, 2015.8. -- xx, 526p ; 22cm.",ND371/0222,,02,学生,理学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,134258,4,20160614,122304
00010251547,TT21243162,"学力低下論批判 : 子どもが「生きる」学力とは何か / 加藤幸次, 高浦勝義編著. -- 黎明書房, 2001.8. -- 247p ; 21cm.",FC63/052,,02,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,134307,4,20160615,105635
00100293773,TT21665506,"学力低下は錯覚である / 神永正博著. -- 森北出版, 2008.6. -- v, 144p ; 22cm.",FD4/0346,,02,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,134313,4,20160615,105623
00130282564,TT21953925,"基礎からの量子力学 / 上村洸, 山本貴博共著. -- 裳華房, 2013.11. -- xi, 374p ; 21cm.",MC53/0340,,01,学生,工学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,134337,4,20160616,155610
00150241392,TT22033766,"戦後日本の教育委員会 : 指揮監督権はどこにあったのか / 大畠菜穂子著. -- 勁草書房, 2015.12. -- xi, 256, xxvip : 挿図 ; 22cm.",FB43/057,,02,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,134422,4,20160615,105628
00120275058,TT21715746,"Ireland / Tim Vicary ; : pbk, : [book with audio CD], : audio CD. -- Oxford University Press, c2008. -- 56 p. : col. ill., col. map ; 22 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Factfiles ; stage 2).",KS61/15,,01,学生,文学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,134448,4,20160606,153842
00130318252,TT21919802,"World wonders / Barnaby Newbolt ; : [pbk.], : [CD pack], : [audio CD]. -- Oxford University Press, 2011. -- 56 p. : ill. (some col.), col. map, ports. ; 22 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Factfiles ; stage 2).",KS61/15,,01,学生,文学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,134454,4,20160613,145139
00140106505,TT21988411,"John F. Kennedy / Anne Collins ; : [pbk.]. -- Oxford University Press, 2014. -- 56 p. : ill. (some col.) ; 22 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Factfiles ; stage 2).",KS61/15,,01,学生,文学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,134507,4,20160603,164740
00120216035,TT21817128,"落ちこぼれでもわかるマクロ経済学の本 / 木暮太一著. -- 改訂新版. -- マトマ出版, 2010.4. -- 295p ; 21cm. -- (初心者のための入門書の入門).",DA1/01339,,04,学生,文学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,134530,4,20160628,175023
00140365813,TT22005465,"Romeo and Juliet / William Shakespeare ; : pbk. -- Mary Glasgow Magazines (Scholastic), 2014. -- 64 p. : col., ill. ; 20 cm. -- (Scholastic reader ; Level 2).",KS61/17,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,134701,4,20160608,160156
00140247393,TT21868950,"Clothes then and now / Richard Northcott ; : [bk.], : [book with 1 audio CD], : [1 audio CD]. -- Oxford University Press, 2010. -- 56 p. : ill. (chiefly col.) ; 21 cm. -- (Oxford read and discover / series editor, Hazel Geatches ; CLIL adviser, John Clegg ; level 6).",KS61/34,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,134707,4,20160608,160153
00140247110,TT21868869,"Homes around the world / Jacqueline Martin ; : [bk.], : [book with 1 audio CD], : [1 audio CD]. -- Oxford University Press, 2010. -- 56 p. : col. ill., maps (some col.) ; 21 cm. -- (Oxford read and discover / series editor, Hazel Geatches ; CLIL adviser, John Clegg ; level 5).",KS61/34,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,134713,4,20160608,160150
00140246858,TT21868872,"Medicine then and now / Louise & Richard Spilsbury ; : [bk.], : [book with 1 audio CD]. -- Oxford University Press, 2011. -- 56 p. : col. ill. ; 21 cm. -- (Oxford read and discover / series editor, Hazel Geatches ; CLIL adviser, John Clegg ; level 5).",KS61/34,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,134718,4,20160608,160149
00140247235,TT21868933,"Food around the world / Robert Quinn ; : [bk.], : [book with 1 audio CD], : [1 audio CD]. -- Oxford University Press, 2010. -- 56 p. : ill. (chiefly col.) ; 21 cm. -- (Oxford read and discover / series editor, Hazel Geatches ; CLIL adviser, John Clegg ; level 6).",KS61/34,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,134724,4,20160608,160152
00140247385,TT21868935,"Helping around the world / Sarah Medina ; : [bk], : [book with 1 audio CD]. -- Oxford University Press, 2010. -- 56 p. : col. ill. ; 21 cm. -- (Oxford read and discover / series editor, Hazel Geatches ; CLIL adviser, John Clegg ; level 6).",KS61/34,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,134729,4,20160608,160154
00080026003,TT21656457,"インテレクチュアル・キャピタル : 知的資本 : 企業の知力を測るナレッジ・マネジメントの新財務指標 / リーフ・エドビンソン, マイケル・S・マローン著 ; 高橋透訳. -- 日本能率協会マネジメントセンター, 1999.11. -- 250p : 挿図 ; 22cm.",DH221/0198,,04,学生,経済学部,本館メインカウンター,本館メインカウンター,和書,本館書庫,20160601,134758,4,20160627,154008
00130130505,TT21945354,"教育心理学 : 教育の科学的解明をめざして / 安藤寿康, 鹿毛雅治編. -- 慶應義塾大学出版会, 2013.5. -- xii, 350p : 挿図 ; 21cm.",FA31/0252,,04,学生,経済学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,134921,4,20160627,154105
00080176312,TT21692077,"日本企業の知的資本マネジメント / 内田恭彦, ヨーラン・ルース著. -- 中央経済社, 2008.4. -- 5, 10, 241p : 挿図 ; 21cm.",DH221/0204,,04,学生,経済学部,本館メインカウンター,本館メインカウンター,和書,本館2F学閲,20160601,134928,4,20160627,154101
00130070471,TT21935516,"科挙 : 中国の試験地獄 / 宮崎市定著. -- 改版. -- 中央公論新社, 2003.2. -- 254p : 挿図 ; 16cm. -- (中公文庫 ; [BIBLIO] ; [B-6-1]).",AC8-141/0673,,M1,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,本館書庫,20160601,135037,4,20160615,130959
00870044738,TT20009192,"科挙史 / 宮崎市定著. -- 平凡社, 1987.6. -- 348p ; 18cm. -- (東洋文庫 ; 470).",US1/0231/470,,M1,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,本館1F学閲新書東洋文庫,20160601,135115,4,20160615,131040
01602868471,TT21469885,"Mathematical theories of economic growth / Edwin Burmeister, A. Rodney Dobell ; with a foreword by Robert M. Solow, and a contribution by Stephen J. Turnovsky. -- Macmillan, c1970. -- xx, 444 p. : ill. ; 24 cm. -- (The Macmillan series in economics).",VIF4-1/B80,,M1,大学院生,経済学部,本館メインカウンター,本館メインカウンター,洋書,本館書庫旧片平,20160601,135214,4,20160719,153403
00930018591,TT20232807,"科挙と近世中国社会 : 立身出世の階梯 / 何炳棣著 ; 寺田隆信, 千種真一訳. -- 平凡社, 1993.2. -- 362p ; 22cm.",GE291/0202,,M1,大学院生,教育学部,本館メインカウンター,本館メインカウンター,和書,本館書庫,20160601,135224,4,20160615,131110
00140238368,TT21716120,"Love among the haystacks / D.H. Lawrence ; retold by Jennifer Bassett ; illustrated by Bob Harvey ; : [book with audio CD], : audio CD. -- Oxford University Press, c2008. -- 56 p. : ill. ; 20 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Classics ; stage 2).",KS61/15,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,135547,4,20160607,180002
00130330453,TT21765037,"The mysterious island / Jules Verne ; retold by Jane Rollason ; [book], [book and CD pack]. -- Pearson Education, 2008. -- iv, 41 p. : chiefly col. ill. ; 20 cm. -- (Penguin readers ; level 2).",KS61/19,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,135551,4,20160613,103039
00140236495,TT21716083,"The witches of Pendle / Rowena Akinyemi ; : [book with audio CD], : audio CD. -- Oxford University Press, c2008. -- 56 p. : ill. ; 20 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; True stories ; stage 1).",KS61/15,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,135557,4,20160613,103041
00140236867,TT21715851,"The lottery winner / Rosemary Border ; : [book with audio CD], : audio CD. -- Oxford University Press, c2008. -- 56 p. : ill. ; 20 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Human interest ; stage 1).",KS61/15,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,135602,4,20160607,180009
00120274215,TT21920204,"William and Kate / Christine Lindop ; : pbk, : [CD pack]. -- Oxford University Press, c2013. -- 56 p. : ill. (chiefly col.), col. ports. ; 22 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Factfiles ; stage 1).",KS61/15,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,135606,4,20160607,180008
00120274068,TT21920211,"Weddings / Christine Lindop ; : pbk, : [CD pack], : [audio CD]. -- Oxford University Press, 2011. -- 56 p. : ill. (chiefly col.), col. ports. ; 22 cm. -- (Oxford bookworms library / series editor, Jennifer Bassett ; Factfiles. Stage 1).",KS61/15,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReadersオレンジ,20160601,135609,4,20160607,180004
00140273636,TT21968441,"Best Friends / Margaret Johnson. -- National Geographic Learning, Cengage Learning, c2015. -- 62 p. : ill. ; 21 cm. -- (Page turners / Rob Waring, series editor ; Headwords levels 6).",KS61/24,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,135821,4,20160608,160307
00110382863,TT21875525,"Cambodia animal rescue. -- Heinle cengage learning, c2009. -- 24 p. : col. ill. ; 21 cm. -- (Footprint reading library / Rob Waring, series editor . National geographic ; intermediate 1300 headwords ; B1).",KS61/23,,01,学生,教育学部,本館メインカウンター,本館メインカウンター,洋書,本館グローバルReaders黄色,20160601,135826,4,20160608,160306
